Fecha,Comentarios añadidos,Suscriptores,Visualizaciones,Tiempo de visualización (horas),Duración media de las visualizaciones,Datos duración media de las visualizaciones
2017-08-20,1,1,100,2.8124,1.683333333,0:01:41
2017-08-25,1,3,154,9.4569,3.683333333,0:03:41
2017-08-29,1,3,133,4.3366,1.95,0:01:57
2017-09-02,1,3,194,9.5851,2.95,0:02:57
2017-09-06,1,0,144,4.3554,1.8,0:01:48
2017-09-09,1,1,115,4.3086,2.233333333,0:02:14
2017-09-17,1,2,177,6.697,2.266666667,0:02:16
2017-09-18,1,2,114,8.6037,4.516666667,0:04:31
2017-09-20,1,1,97,5.6015,3.45,0:03:27
2017-09-24,1,1,167,10.8642,3.9,0:03:54
2017-10-12,1,0,224,7.8094,2.083333333,0:02:05
2017-10-20,1,2,179,9.6198,3.216666667,0:03:13
2017-10-23,1,0,113,4.1179,2.183333333,0:02:11
2017-10-29,1,0,149,9.5485,3.833333333,0:03:50
